Method,Parameter,F1-Score,Precision,Recall
BGE,Threshold=0.5,25.33,15.20,76.00
BGE,Threshold=0.51,25.33,15.20,76.00
BGE,Threshold=0.52,25.33,15.20,76.00
BGE,Threshold=0.53,25.38,15.23,76.00
BGE,Threshold=0.54,25.44,15.28,76.00
BGE,Threshold=0.55,25.66,15.44,75.80
BGE,Threshold=0.56,26.12,15.79,75.40
BGE,Threshold=0.57,26.70,16.27,74.40
BGE,Threshold=0.58,28.45,17.66,73.20
BGE,Threshold=0.59,30.35,19.30,71.00
BGE,Threshold=0.6,32.06,21.07,67.00
BGE,Threshold=0.61,34.06,23.42,62.40
BGE,Threshold=0.62,36.01,26.54,56.00
BGE,Threshold=0.63,35.65,28.64,47.20
BGE,Threshold=0.64,35.96,32.27,40.60
BGE,Threshold=0.65,36.86,38.68,35.20
BGE,Threshold=0.66,35.87,43.34,30.60
BGE,Threshold=0.67,32.42,46.79,24.80
BGE,Threshold=0.68,29.47,51.76,20.60
BGE,Threshold=0.69,24.09,58.02,15.20
BGE,Threshold=0.7,19.08,64.37,11.20
BGE,Threshold=0.71,13.41,71.15,7.40
BGE,Threshold=0.72,8.30,73.33,4.40
BGE,Threshold=0.73,6.20,100.00,3.20
BGE,Threshold=0.74,3.92,100.00,2.00
BGE,Threshold=0.75,2.37,100.00,1.20
BGE,Threshold=0.76,1.59,100.00,0.80
BGE,Threshold=0.77,1.19,100.00,0.60
BGE,Threshold=0.78,0.40,100.00,0.20
BGE,Threshold=0.79,0.00,0.00,0.00
BGE,Threshold=0.8,0.00,0.00,0.00
BGE,Threshold=0.81,0.00,0.00,0.00
BGE,Threshold=0.82,0.00,0.00,0.00
BGE,Threshold=0.83,0.00,0.00,0.00
BGE,Threshold=0.84,0.00,0.00,0.00
BGE,Top-K=1,47.00,47.00,47.00
BGE,Top-K=2,42.27,31.70,63.40
BGE,Top-K=3,35.40,23.60,70.80
