threshold,precision,recall,f1_score
0.75,16.75,61.0,26.28
0.76,19.87,57.2,29.5
0.77,25.07,50.8,33.58
0.78,31.47,41.6,35.83
0.79,36.36,31.2,33.58
0.8,41.73,23.2,29.82
0.81,51.45,17.8,26.45
0.82,64.04,11.4,19.35
0.83,66.67,6.0,11.01
0.84,75.0,3.6,6.87
0.85,72.73,1.6,3.13
0.86,66.67,0.4,0.8
0.87,0.0,0.0,0.0
0.88,0.0,0.0,0.0
0.89,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.91,0.0,0.0,0.0
0.92,0.0,0.0,0.0
0.93,0.0,0.0,0.0
0.94,0.0,0.0,0.0
0.95,0.0,0.0,0.0
0.96,0.0,0.0,0.0
0.97,0.0,0.0,0.0
0.98,0.0,0.0,0.0
0.99,0.0,0.0,0.0
1.0,0.0,0.0,0.0
